1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,
0.0,1.0,3.0,6.0,9.0,10.0,8.0,4.0,,,,,,,,,,,,,,,,
0.0,0.0,1.0,3.0,6.0,9.0,10.0,8.0,4.0,,,,,,,,,,,,,,,
0.0,0.0,1.0,4.0,9.0,15.0,19.0,18.0,12.0,5.0,,,,,,,,,,,,,,
0.0,0.0,0.0,1.0,4.0,9.0,15.0,19.0,18.0,12.0,5.0,,,,,,,,,,,,,
0.0,0.0,1.0,5.0,14.0,28.0,43.0,52.0,49.0,35.0,18.0,6.0,,,,,,,,,,,,
0.0,0.0,0.0,1.0,5.0,14.0,28.0,43.0,52.0,49.0,35.0,18.0,6.0,,,,,,,,,,,
0.0,0.0,0.0,1.0,6.0,19.0,42.0,71.0,95.0,101.0,84.0,53.0,24.0,7.0,,,,,,,,,,
0.0,0.0,0.0,0.0,1.0,6.0,19.0,42.0,71.0,95.0,101.0,84.0,53.0,24.0,7.0,,,,,,,,,
0.0,1.0,4.0,12.0,30.0,64.0,118.0,188.0,258.0,302.0,298.0,244.0,162.0,84.0,32.0,8.0,,,,,,,,
0.0,0.0,1.0,4.0,12.0,30.0,64.0,118.0,188.0,258.0,302.0,298.0,244.0,162.0,84.0,32.0,8.0,,,,,,,
0.0,0.0,1.0,5.0,16.0,42.0,94.0,182.0,306.0,446.0,560.0,600.0,542.0,406.0,246.0,116.0,40.0,9.0,,,,,,
0.0,0.0,0.0,1.0,5.0,16.0,42.0,94.0,182.0,306.0,446.0,560.0,600.0,542.0,406.0,246.0,116.0,40.0,9.0,,,,,
0.0,0.0,1.0,6.0,22.0,63.0,152.0,318.0,582.0,934.0,1312.0,1606.0,1702.0,1548.0,1194.0,768.0,402.0,165.0,50.0,10.0,,,,
0.0,0.0,0.0,1.0,6.0,22.0,63.0,152.0,318.0,582.0,934.0,1312.0,1606.0,1702.0,1548.0,1194.0,768.0,402.0,165.0,50.0,10.0,,,
0.0,0.0,0.0,1.0,7.0,28.0,85.0,215.0,470.0,900.0,1516.0,2246.0,2918.0,3308.0,3250.0,2742.0,1962.0,1170.0,567.0,215.0,60.0,11.0,,
0.0,0.0,0.0,0.0,1.0,7.0,28.0,85.0,215.0,470.0,900.0,1516.0,2246.0,2918.0,3308.0,3250.0,2742.0,1962.0,1170.0,567.0,215.0,60.0,11.0,
